#COVAR_START ##############################################DO NOT REMOVE THIS LINE OR REC FIT WONT RUN!
-0.1871816 -0.344283 -1.216027 0.9992819 -1.285528 -1.344219 0.3192721 -0.4230347 -0.237833 -0.0257154 -0.7339121 -1.192332 -0.5991754 -0.3714251 -0.6957434 -0.468551 -0.3460603 0.3701176 -0.8537182 0.9566986 0.2844658 0.01799345 -0.3592476 0.1321038 -0.06779802 -0.5345145 -0.3600461 0.5635858 0.1112528 1.709434 2.301763 1.808418 3.191453 1.43054 1.982725 -0.1029377 0.3750799 -0.9219453 -0.4967448 -0.2828686 -0.9840807 -0.6186989 -0.6186989 -0.618698
# srvy_rep_PhS_integrated :
-0.9202411 -0.7817836 -0.8262573 1.266043 -1.23855 -0.551319 0.2289881 0.1913958 0.8348597 0.4110942 0.2324454 -0.5442537 -1.086651 -0.4583209 -1.374225 -0.6277306 -0.4998736 1.288308 0.4292715 1.06723 0.001802079 2.566674 1.485339 1.607435 0.6654103 1.200585 2.423329 2.581847 1.55 -0.8764851 -0.02590322 0.180319 -0.9211936 0.8305648 0.01712861 0.6859672 -0.2334971 -0.2195839 -0.3825279 -0.2113989 -0.02111359 -0.3969538 -0.3969538 -0.396953
# srvy_rep_PhS_surface5m :
-0.3938088 -0.7243709 -1.086128 1.268973 -1.806789 -1.549009 0.5826352 0.04743049 0.5805053 0.3562486 0.05418111 -0.8323584 -0.8917095 0.118898 -0.9095372 -0.7202389 -0.8222318 1.782091 -0.4805172 1.126819 0.1006054 2.101446 1.970935 1.289074 0.6175362 0.1869206 1.921273 2.859214 1.649563 -0.606006 0.8144208 0.766151 -0.1504654 0.8341042 0.3616195 0.7069422 -0.03149273 -0.5395104 -0.8895689 0.1954912 -0.4127269 -0.5212299 -0.5212299 -0.521229
# srvy_rep_salt_surface5m :
1.878343 0.9311181 0.9040558 1.318458 0.5921624 -0.08021196 0.855729 -0.07121814 0.6599961 0.9314027 1.363489 0.9094285 0.1368843 0.296396 0.5814876 -0.3522869 -0.4400619 -0.06134422 -0.5062266 -1.138991 -1.348249 -0.8385391 -1.163105 -0.9172794 -1.109281 -0.9600646 -0.7038411 -2.10088 -3.127319 -2.754304 -1.586869 -1.919556 -1.263527 -3.688071 -2.180207 -1.808072 -1.186303 -0.712813 -0.4921961 -0.9105879 -1.066253 -1.16553 -1.16553 -1.1655
# srvy_rep_shflux :
-0.3453584 -0.2255443 -1.653785 0.8093212 -1.494082 -1.277651 0.5356135 0.0187577 -0.4053293 0.3563372 -0.6679271 -0.8146728 -0.09963185 0.6845849 0.1437731 0.1324801 -0.9573384 0.2299776 -1.776465 -0.1149078 0.201026 -0.2420449 -0.256535 -0.6687335 -0.3616775 -0.86859 -0.5873508 0.7308346 -0.9915702 0.4480673 0.8544017 0.8153661 0.8999782 0.1300729 0.8420252 -0.620947 -0.3124562 -1.206144 -0.57784 -0.4553407 -1.10744 -0.8630765 -0.8630765 -0.863076
# srvy_rep_ssflux :
